dt_id,feeder_id,lat,lon,capacity_kva,households_served
D-0001,F-07-01,12.985099,77.598564,250,365
D-0002,F-07-05,12.974007,77.600116,250,272
D-0003,F-07-03,12.968716,77.578433,250,373
D-0004,F-07-03,12.985518,77.599434,250,259
D-0005,F-07-02,12.966973,77.575446,500,523
D-0006,F-07-03,12.975891,77.594892,500,660
D-0007,F-07-02,12.985657,77.581099,250,349
D-0008,F-07-03,12.948092,77.595987,100,126
D-0009,F-07-03,12.984236,77.590061,500,583
D-0010,F-07-05,12.973902,77.57607,100,100
D-0011,F-07-02,12.950087,77.595646,500,700
D-0012,F-07-04,12.97249,77.597189,100,136
D-0013,F-07-04,12.975189,77.594311,250,254
D-0014,F-07-02,12.980394,77.603023,100,122
D-0015,F-07-05,12.96355,77.594239,100,147
D-0016,F-07-04,12.958242,77.608767,250,302
D-0017,F-07-05,12.980593,77.595063,500,522
D-0018,F-07-04,12.9577,77.595475,250,260
D-0019,F-07-05,12.976359,77.607989,500,656
D-0020,F-07-01,12.981893,77.592337,100,132
D-0021,F-07-04,12.972984,77.5911,250,282
D-0022,F-07-02,12.981258,77.591071,100,134
D-0023,F-07-01,12.977102,77.595492,500,693
D-0024,F-07-02,12.951324,77.608819,500,638
D-0025,F-07-05,12.986914,77.58137,250,368
D-0026,F-07-03,12.959562,77.611078,500,705
D-0027,F-07-05,12.963454,77.610844,100,148
D-0028,F-07-01,12.981379,77.588045,250,372
D-0029,F-07-02,12.982391,77.600678,500,562
D-0030,F-07-03,12.961864,77.576449,100,136
D-0031,F-07-03,12.953855,77.576918,250,331
D-0032,F-07-03,12.986258,77.578056,500,517
D-0033,F-07-01,12.972061,77.586104,250,350
D-0034,F-07-05,12.957706,77.594423,100,106
D-0035,F-07-04,12.975474,77.603049,500,700
D-0036,F-07-02,12.982282,77.577394,100,112
D-0037,F-07-05,12.971353,77.589572,100,125
D-0038,F-07-03,12.953113,77.603732,500,628
D-0039,F-07-01,12.969276,77.600429,250,368
D-0040,F-07-05,12.949928,77.594615,100,103
