pole_id,lat,lon,feeder_id,dt_id,seq_on_line,parent_pole_id,pole_type,ward,pincode,device_id
P-000001,12.985055,77.598236,F-07-01,D-0001,1,,LT-8m-PCC,W-77,560078,KSPDB-SD07-D-0001-1
P-000002,12.984963,77.598159,F-07-01,D-0001,2,P-000001,LT-8m-Steel,W-83,560078,KSPDB-SD07-D-0001-2
P-000003,12.98503,77.598094,F-07-01,D-0001,2,P-000001,LT-8m-PCC,W-92,560078,KSPDB-SD07-D-0001-3
P-000004,12.985075,77.598104,F-07-01,D-0001,3,P-000003,LT-8m-Steel,W-16,560078,
P-000005,12.985231,77.598426,F-07-01,D-0001,2,P-000001,LT-8m-PCC,W-42,560078,KSPDB-SD07-D-0001-5
P-000006,12.985181,77.598309,F-07-01,D-0001,2,P-000001,LT-9m-PCC,W-41,560078,
P-000007,12.984941,77.598122,F-07-01,D-0001,4,P-000004,LT-8m-PCC,W-78,560078,KSPDB-SD07-D-0001-7
P-000008,12.985293,77.598287,F-07-01,D-0001,3,P-000005,LT-8m-Steel,W-64,560078,KSPDB-SD07-D-0001-8
P-000009,12.984758,77.598196,F-07-01,D-0001,5,P-000007,LT-9m-PCC,W-60,560078,KSPDB-SD07-D-0001-9
P-000010,12.984944,77.598064,F-07-01,D-0001,5,P-000007,LT-8m-Steel,W-63,560078,KSPDB-SD07-D-0001-10
P-000011,12.984867,77.598199,F-07-01,D-0001,5,P-000007,LT-9m-PCC,W-54,560078,KSPDB-SD07-D-0001-11
P-000012,12.984876,77.598032,F-07-01,D-0001,5,P-000007,LT-9m-PCC,W-58,560078,KSPDB-SD07-D-0001-12
P-000013,12.984794,77.598143,F-07-01,D-0001,6,P-000011,LT-9m-PCC,W-38,560078,KSPDB-SD07-D-0001-13
P-000014,12.984751,77.598061,F-07-01,D-0001,6,P-000012,LT-8m-Steel,W-47,560078,KSPDB-SD07-D-0001-14
P-000015,12.984855,77.598201,F-07-01,D-0001,6,P-000010,LT-9m-PCC,W-95,560078,KSPDB-SD07-D-0001-15
P-000016,12.984881,77.597904,F-07-01,D-0001,6,P-000012,LT-9m-PCC,W-18,560078,KSPDB-SD07-D-0001-16
P-000017,12.984693,77.598213,F-07-01,D-0001,6,P-000012,LT-9m-PCC,W-26,560078,KSPDB-SD07-D-0001-17
P-000018,12.984957,77.598363,F-07-01,D-0001,7,P-000015,LT-8m-PCC,W-19,560078,KSPDB-SD07-D-0001-18
P-000019,12.984826,77.598444,F-07-01,D-0001,8,P-000018,LT-9m-PCC,W-47,560078,KSPDB-SD07-D-0001-19
P-000020,12.984786,77.597895,F-07-01,D-0001,7,P-000016,LT-8m-PCC,W-48,560078,
P-000021,12.984901,77.598331,F-07-01,D-0001,9,P-000019,LT-8m-PCC,W-30,560078,KSPDB-SD07-D-0001-21
P-000022,12.984759,77.598101,F-07-01,D-0001,7,P-000017,LT-8m-Steel,W-53,560078,KSPDB-SD07-D-0001-22
P-000023,12.984929,77.598261,F-07-01,D-0001,9,P-000019,LT-9m-PCC,W-31,560078,KSPDB-SD07-D-0001-23
P-000024,12.984882,77.598384,F-07-01,D-0001,9,P-000019,LT-8m-Steel,W-22,560078,KSPDB-SD07-D-0001-24
P-000025,12.984906,77.597878,F-07-01,D-0001,8,P-000020,LT-8m-Steel,W-15,560078,KSPDB-SD07-D-0001-25
P-000026,12.984928,77.598211,F-07-01,D-0001,10,P-000023,LT-8m-PCC,W-62,560078,KSPDB-SD07-D-0001-26
P-000027,12.985038,77.59821,F-07-01,D-0001,10,P-000023,LT-8m-PCC,W-74,560078,KSPDB-SD07-D-0001-27
P-000028,12.984956,77.598121,F-07-01,D-0001,10,P-000023,LT-9m-PCC,W-99,560078,
P-000029,12.985131,77.598035,F-07-01,D-0001,11,P-000028,LT-9m-PCC,W-77,560078,KSPDB-SD07-D-0001-29
